Patient 1 dataset,,,,,,,,,
Time ,Ankle,,,Thigh,,,Trunk,,
ms,Horizontal forward,Vertical,Horizontal Lateral,Horizontal forward,Vertical,Horizontal Lateral,Horizontal forward,Vertical,Horizontal Lateral
15,70,39,-970,-18,27,-989,135,57,-961
31,70,39,-970,-18,27,-979,135,57,-961
46,60,49,-960,-18,27,-979,126,47,-961
62,60,49,-960,-18,27,-979,126,47,-961
78,50,39,-960,-27,37,-979,106,47,-970
93,50,39,-960,-27,37,-979,106,47,-970
109,60,39,-990,-18,37,-1010,135,47,-980
125,70,29,-980,-18,37,-979,126,38,-961
140,70,29,-980,-18,37,-979,126,38,-961
156,70,29,-970,-18,27,-989,126,57,-970
171,60,29,-970,-27,37,-959,126,57,-970
187,60,29,-970,-27,37,-959,135,38,-970
203,70,39,-970,-18,37,-979,116,47,-961
218,70,39,-960,-9,27,-979,116,47,-961
234,50,39,-950,-18,27,-979,135,47,-970
250,50,39,-950,-18,27,-979,135,47,-961
265,50,39,-970,-36,37,-1000,135,47,-961
281,60,29,-990,-27,27,-969,135,38,-980
296,60,39,-970,-27,27,-989,126,38,-980
312,60,39,-970,-27,27,-989,126,38,-980
328,50,39,-970,-27,27,-969,126,47,-970
343,70,39,-960,-18,27,-969,126,47,-980
359,70,39,-960,-27,37,-1000,116,47,-961
375,70,39,-970,-27,37,-1000,116,47,-961
390,60,49,-970,-18,27,-979,126,38,-990
406,50,29,-970,-27,27,-969,126,57,-970
421,60,29,-980,-27,37,-969,126,57,-970
437,60,29,-980,-27,37,-989,116,47,-980
453,50,49,-970,-27,37,-989,116,47,-980
468,60,39,-960,-27,27,-969,135,28,-980
484,70,29,-960,-18,37,-979,126,47,-980
500,50,39,-980,-27,37,-1000,126,47,-980
515,50,39,-980,-27,27,-989,126,47,-980
531,40,49,-970,-36,37,-959,116,47,-980
546,70,29,-980,-36,37,-959,116,47,-951
562,60,39,-970,-27,27,-979,126,38,-970
578,70,29,-970,-36,27,-989,126,38,-970
593,90,49,-960,-27,37,-979,116,47,-980
609,90,49,-960,-27,46,-979,135,47,-970
625,60,29,-980,-27,27,-979,116,47,-990
640,70,49,-980,-18,37,-969,126,38,-980
656,80,9,-960,-18,37,-969,126,57,-961
671,50,39,-960,-9,37,-1000,135,38,-961
687,60,39,-960,-27,46,-989,116,47,-970
703,50,39,-980,-27,37,-989,116,47,-970
718,60,29,-960,-18,27,-979,116,38,-980
734,60,39,-990,-36,37,-969,135,47,-970
750,60,39,-990,-18,37,-979,126,47,-970
765,70,29,-990,-27,37,-979,135,38,-951
781,70,49,-960,-27,37,-979,116,47,-970
796,60,29,-980,-9,18,-969,116,47,-980
812,70,49,-960,-27,27,-969,135,47,-990
828,60,58,-980,-27,18,-989,116,47,-990
843,70,29,-980,-27,27,-989,126,57,-980
859,70,49,-970,-27,37,-989,126,57,-980
875,70,49,-970,-18,27,-989,126,47,-961
890,40,39,-970,-27,27,-949,135,47,-980
906,70,29,-950,-27,27,-949,116,57,-980
921,60,19,-980,-9,18,-989,116,38,-980
937,70,29,-960,-18,37,-979,116,38,-980
953,80,39,-950,-27,27,-979,126,38,-980
968,80,39,-950,-27,37,-979,126,47,-951
984,60,29,-970,-27,37,-979,116,38,-941
1000,60,29,-980,-18,37,-989,135,38,-980
1015,50,39,-960,-27,37,-979,126,47,-980
1031,50,49,-950,-9,27,-969,116,38,-951
1046,70,29,-970,-18,37,-979,116,38,-951
1062,70,29,-970,-18,37,-979,135,38,-970
1078,70,19,-980,-27,27,-959,116,66,-980
1093,70,29,-1000,-18,27,-989,126,38,-951
1109,50,58,-970,-18,27,-979,116,47,-980
1125,50,58,-970,-18,27,-979,126,38,-980
1140,60,58,-970,-27,37,-989,116,38,-951
1156,50,29,-980,-27,27,-959,116,38,-951
1171,70,29,-970,-27,27,-979,126,38,-941
1187,60,39,-960,-27,27,-979,126,38,-970
1203,60,39,-960,-36,37,-979,126,28,-961
1218,60,29,-960,-27,46,-979,126,28,-980
1234,50,49,-980,-27,46,-979,126,47,-970
1250,70,49,-980,-27,37,-989,135,38,-970
1265,70,49,-980,-27,27,-969,126,57,-990
1281,60,29,-950,-18,27,-1010,126,38,-951
1296,80,39,-950,-18,27,-1010,126,38,-970
