Patient 4,,,,,,,,,
Time ,Ankle,,,Thigh,,,Trunk,,
ms,Horizontal forward,Vertical,Horizontal Lateral,Horizontal forward,Vertical,Horizontal Lateral,Horizontal forward,Vertical,Horizontal Lateral
15,40,19,-960,754,481,303,97,47,-990
31,40,19,-960,763,500,333,97,47,-990
46,40,29,-960,745,472,303,106,38,-980
62,40,29,-960,754,481,303,106,38,-980
78,50,19,-950,763,481,313,87,28,-990
93,50,19,-950,754,481,313,106,28,-990
109,50,19,-950,754,481,313,106,28,-990
125,50,19,-950,763,472,313,97,38,-951
140,50,19,-950,763,481,303,106,38,-1000
156,50,19,-950,763,481,323,106,38,-1000
171,50,19,-950,745,481,303,106,38,-980
187,20,29,-970,763,490,303,97,28,-970
203,50,19,-960,763,472,313,97,28,-970
218,40,19,-950,763,490,303,77,47,-1000
234,40,19,-950,754,481,323,97,38,-970
250,50,19,-950,763,481,313,97,38,-970
265,40,39,-970,763,481,282,97,38,-970
281,60,29,-970,763,481,282,87,47,-961
296,60,29,-960,754,481,303,106,28,-970
312,50,29,-950,763,490,292,106,28,-970
328,50,29,-960,763,481,313,87,47,-970
343,50,29,-960,763,462,313,97,47,-980
359,40,19,-960,763,481,303,106,47,-980
375,60,29,-970,763,481,292,106,47,-980
390,50,19,-970,763,481,292,77,47,-961
406,60,9,-970,754,472,303,106,47,-1000
421,50,19,-950,754,490,303,106,38,-961
437,40,29,-960,763,481,313,87,38,-970
453,60,29,-960,763,481,313,87,38,-970
468,60,29,-960,772,490,292,106,38,-990
484,50,19,-950,772,490,292,97,38,-961
500,50,19,-950,772,490,292,87,38,-990
515,60,9,-950,772,490,292,106,38,-980
531,40,29,-950,772,490,292,87,28,-941
546,50,29,-960,772,490,292,87,28,-941
562,30,19,-960,772,490,292,97,38,-990
578,40,19,-960,772,490,292,116,28,-970
593,40,19,-960,772,490,292,97,38,-980
609,60,9,-960,772,490,292,97,57,-980
625,50,19,-970,745,481,313,106,47,-961
640,50,19,-950,763,481,292,97,38,-980
656,50,19,-950,754,481,292,97,38,-980
671,50,19,-950,763,472,313,97,47,-970
687,50,29,-970,754,481,313,87,28,-990
703,50,19,-940,754,490,333,97,38,-970
718,40,9,-960,772,472,303,97,28,-970
734,60,29,-960,754,481,323,97,38,-980
750,60,29,-960,763,490,313,97,47,-961
765,60,29,-960,763,490,313,106,47,-990
781,40,39,-970,754,472,292,106,47,-990
796,50,39,-980,754,481,292,97,38,-970
812,50,39,-980,754,490,313,106,47,-990
828,40,19,-950,763,500,292,106,38,-980
843,60,19,-960,763,500,292,106,38,-951
859,50,9,-950,754,481,303,77,47,-970
875,50,29,-970,754,490,303,97,28,-970
890,50,29,-970,754,472,303,97,38,-961
906,50,19,-970,754,472,303,106,47,-990
921,50,19,-970,754,481,292,97,38,-990
937,50,29,-960,754,481,303,97,38,-990
953,50,29,-960,745,490,323,97,47,-1000
968,50,9,-950,745,481,313,87,47,-980
984,30,29,-960,763,481,303,106,28,-1000
1000,50,19,-970,763,481,303,87,38,-970
1015,40,29,-970,754,481,313,87,38,-951
1031,40,29,-970,754,490,313,106,28,-980
1046,50,29,-970,763,481,303,116,28,-980
1062,40,29,-960,763,481,303,97,38,-980
1078,40,39,-970,754,481,313,106,38,-990
1093,40,39,-970,772,462,313,87,28,-961
1109,50,19,-950,772,462,313,116,28,-990
1125,30,9,-970,763,481,282,106,38,-980
1140,60,19,-960,754,481,303,106,38,-980
1156,60,19,-960,754,481,303,87,38,-990
1171,60,19,-960,754,481,313,97,28,-961
1187,50,29,-950,754,481,313,106,38,-1000
1203,40,9,-950,754,481,313,106,47,-990
1218,40,29,-970,754,481,313,97,38,-951
1234,40,29,-970,754,481,313,106,38,-990
1250,50,19,-960,754,481,313,97,38,-980
1265,50,19,-970,754,481,313,97,38,-961
1281,40,19,-970,754,481,313,106,47,-980
1296,40,29,-960,763,481,313,87,38,-980
1312,40,19,-970,763,481,313,97,28,-970
1328,40,19,-970,763,490,292,106,38,-980
1343,50,29,-970,754,490,323,106,28,-990
1359,60,19,-960,754,481,313,87,38,-951
1375,40,29,-960,754,472,313,97,47,-980
1390,50,29,-970,754,481,313,97,38,-961
1406,60,19,-960,754,481,313,97,38,-961
1421,60,19,-960,763,500,323,87,28,-980
1437,60,39,-960,763,500,323,97,47,-990
